jobId,blockId,familyId,repeat,condition,status,hardPass,failureCode,parentProviderContextTokens,parentEstimatedContextTokens,parentMessageBytes,parentToolResultBytes,sentinelVisible,lifecycleValid,parentTokens,childTokens,treeTokens,wallTimeMs
sha256:9ae417c2b2219c4cfc3417183b91e04751ea13ff733affe518d5f2d2abfada20,error-budget:r3,error-budget,3,INLINE_PARENT,completed,true,,7837,6970,30271,26736,true,true,8702,0,8702,38063.848125
sha256:802901f29266ad6ed8f0ca849c7e9df654cef893280499f4e22e4d6f6750047c,error-budget:r3,error-budget,3,SKILLSCOPE_FLAT,completed,true,,1191,489,4007,661,false,true,2005,10755,12760,86814.640042
sha256:4b1f9a3d418a898f2b0b97b734612fa995c94aa20efbe9c588d168857b238190,error-budget:r3,error-budget,3,SKILLSCOPE_NESTED,completed,true,,1209,515,5025,604,false,true,2063,20217,22280,104986.70675
sha256:3faa5f2fd9a8f7261389273aea6ff3dc6868714de0cf65cdeba0c983f9a066b2,error-budget:r3,error-budget,3,EPHEMERAL_FREEFORM,completed,true,,1156,449,3784,386,false,true,1970,8229,10199,37971.110584
sha256:3ebe6f193dbebd91d048fc5e4236346caec24e090d5ec08d447e6fef56077203,backup-quorum:r1,backup-quorum,1,SKILLSCOPE_FLAT,completed,true,,1232,519,4199,582,false,true,2050,10880,12930,35914.772416
sha256:7f8efca173581d6f36f24a5cc64675ea7a0fd06ae8d38d3ea9bde43a4d2ca904,backup-quorum:r1,backup-quorum,1,EPHEMERAL_FREEFORM,completed,true,,1202,482,3904,444,false,true,2021,8283,10304,20162.798583
sha256:ce5f90b4feda045ca825476fe92c0c8267fb4df6b58a7ad179ac9882c9698c04,backup-quorum:r1,backup-quorum,1,INLINE_PARENT,completed,true,,7882,6987,30314,26761,true,true,8757,0,8757,6691.165708
sha256:570d59560cb636d0b12dfc86581e8bb53527b22701759c9b2d7d3f1125f9cd69,backup-quorum:r1,backup-quorum,1,SKILLSCOPE_NESTED,completed,true,,1268,551,5107,710,false,true,2087,20192,22279,51046.886375
sha256:8acee9fc8bf69fbe6ebca654e961dc844cd0c435cd68339043ed875fa6587279,backup-quorum:r2,backup-quorum,2,EPHEMERAL_FREEFORM,completed,true,,1214,485,3958,449,false,true,2036,8281,10317,25870.267541
sha256:fe15cf5df0aa20f78343f9f8931bd0b99831567d68dfd36d424bd62e349aad50,backup-quorum:r2,backup-quorum,2,INLINE_PARENT,completed,true,,7821,6937,30067,26761,true,true,8672,0,8672,8991.943208
sha256:58c9899984460f4c3ba6dd0caca45920fbd1e419bf95e47cbeda6106c36ceaa4,backup-quorum:r2,backup-quorum,2,SKILLSCOPE_NESTED,completed,true,,1250,523,5045,598,false,true,2070,20256,22326,39628.969125
sha256:42c08a6b40b77d61af4d0d0b6c0792b4861ce66de39a0b736ee91cda50d66173,backup-quorum:r2,backup-quorum,2,SKILLSCOPE_FLAT,completed,true,,1357,645,4661,582,false,true,2247,10848,13095,27342.883875
sha256:98fd5d0e143fbb0a5afa7c9d5c2235d6432e649799a61851edf721d9f8fb73b4,backup-quorum:r3,backup-quorum,3,EPHEMERAL_FREEFORM,completed,true,,1204,477,3870,418,false,true,2023,8263,10286,26835.012584
sha256:9d2b4e4fbb2607d85f9ef9ce41e9f35ff0a72b43613200fad37b984c36ddabb1,backup-quorum:r3,backup-quorum,3,SKILLSCOPE_FLAT,completed,true,,1238,513,4149,522,false,true,2058,10889,12947,19294.69875
sha256:7154e3fe906ab814f6d1b859cf73337a5de1698ca8db563d76d1dfe8c0b64698,backup-quorum:r3,backup-quorum,3,INLINE_PARENT,completed,true,,7871,6977,30332,26761,true,true,8734,0,8734,11805.885375
sha256:abf28a176c7b64f3378460742bd0794d9d652b1cf529affe44dedafe40378c9a,backup-quorum:r3,backup-quorum,3,SKILLSCOPE_NESTED,completed,true,,1216,507,4934,646,false,true,2024,19890,21914,28448.880583
