jobId,blockId,familyId,dependencyDirection,repeat,condition,status,hardPass,failureCode,abstained,confidentWrong,topologyValid,observedFirstRole,upstreamPassedToSecond,lifecycleValid,parentProviderContextTokens,parentMessageBytes,treeTokens,wallTimeMs
sha256:cee8f9e35ab1b0d0b7683d415436dbc6b5bcb5e7addd1d41a6431e48d3a07cfb,replica-region:r2,replica-region,observation-first,2,OBSERVATION_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,917,4212,26673,41476.043958
sha256:7210eaaca88054bc22e6c6f303c98fef5852b03ce4f275f49f78cc3c7ccd926e,replica-region:r3,replica-region,observation-first,3,CONSTRAINT_FIRST,capability_failure,false,ABSTAINED,true,false,true,constraint,true,true,1007,4529,25222,25012.942375
sha256:73aef76b123082a396a858b8ae1609d95fe9c654bef8cf61928844673dbfb0af,replica-region:r3,replica-region,observation-first,3,ADAPTIVE_ORDER,completed,true,,false,false,true,observation,true,true,1150,4963,27008,31394.3195
sha256:0b405c9722269ee2be38bb2c9738b898abd6f6a14072d5da407f010e292c562e,replica-region:r3,replica-region,observation-first,3,OBSERVATION_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,944,4307,24756,25723.800167
sha256:c454d9dde9ae05d821db3b16c5e4f6a15f22510d6c2f785bea2130cae7756405,replica-region:r3,replica-region,observation-first,3,PARALLEL_JOIN,capability_failure,false,ABSTAINED,true,false,true,parallel,false,true,996,4459,22046,24483.683334
sha256:cb6e2f81308359592a1d0e4e78d45665f1b37b6fe39ab88db47a8efbc03dd04a,independent-feature:r1,independent-feature,independent,1,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,985,4451,24806,26116.328
sha256:774fc62c8ba616c28e7c98aaf8be502530e3aa94c96227f45fb1eaf897ebcd67,independent-feature:r1,independent-feature,independent,1,PARALLEL_JOIN,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,1244,5392,21475,17266.459125
sha256:581ee4ea2d849dea6cc54b6091162abd8a821dc449fdf9336ee884fc957f0a8b,independent-feature:r1,independent-feature,independent,1,OBSERVATION_FIRST,completed,true,,false,false,true,observation,true,true,1132,4863,24805,31787.930958
sha256:c5ea23eb9340540b41bd2fca46a3290a3c5611482b609263ce7f8add032b5f7d,independent-feature:r1,independent-feature,independent,1,CONSTRAINT_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,1197,4949,24571,26111.668333
sha256:370713c736cc30cc1a8d876e50667f1f54ee49beb290c00669c2a54638767786,independent-feature:r2,independent-feature,independent,2,ADAPTIVE_ORDER,capability_failure,false,TOPOLOGY_INVALID,false,false,false,parallel,false,true,1159,5044,21791,19797.810667
sha256:716be689f0aaee7a6d209247805f4c79d772926f1a0b7a6a7b964bd5e4a121ea,independent-feature:r2,independent-feature,independent,2,PARALLEL_JOIN,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,956,4294,21206,16212.662708
sha256:863d9942d6f96271490e1d63d409ca431a9d6c4ec484f03a209ec52b9112183a,independent-feature:r2,independent-feature,independent,2,OBSERVATION_FIRST,completed,true,,false,false,true,observation,true,true,1096,4600,24639,23332.50725
sha256:a2e5c913fb67d8ca423c756a7976869309b4ba32e0172022424a84c137dd1a1c,independent-feature:r2,independent-feature,independent,2,CONSTRAINT_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,1523,6663,25066,58366.143875
sha256:15b6829071afacde93681de52e4a8a195448dc1f8a5b5d0cb8ac2edce4c85fdb,independent-feature:r3,independent-feature,independent,3,OBSERVATION_FIRST,completed,true,,false,false,true,observation,true,true,1202,5049,26851,31895.434041
sha256:39bed51182e6d90135c0be325c1262d976bb0385f00a679da83aee8c2a90867c,independent-feature:r3,independent-feature,independent,3,PARALLEL_JOIN,completed,true,,false,false,true,parallel,false,true,948,4310,21089,16806.561625
sha256:1f2aab2aeb64858cb8d3e2bafb208d8e04cbd5a3ce7ef234a5fcb5a57393fb83,independent-feature:r3,independent-feature,independent,3,ADAPTIVE_ORDER,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,927,4184,25607,45513.131208
sha256:47410faa1ae5ca584f03e482e87ccd2ac10b3ea0aafbb14bc5ed8d2987f2887c,independent-feature:r3,independent-feature,independent,3,CONSTRAINT_FIRST,capability_failure,false,TOPOLOGY_INVALID,true,false,false,,,true,946,4248,24490,25470.986209
sha256:1aed8702e2fa0d6a524ae34d8b32e5deba4fffbd6db1945c03563208406b0e5b,independent-budget:r1,independent-budget,independent,1,ADAPTIVE_ORDER,completed,true,,false,false,true,constraint,true,true,1143,4915,26294,34096.644875
